block_threshold,approve_threshold,total_cost,missed_fraud_cost,false_block_cost,hold_review_cost,rule_based_blocks
0.09736842105263158,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.14473684210526316,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.14473684210526316,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.19210526315789472,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.19210526315789472,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.19210526315789472,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.23947368421052628,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.23947368421052628,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.23947368421052628,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.23947368421052628,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.28684210526315784,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.28684210526315784,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.28684210526315784,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.28684210526315784,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.28684210526315784,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.33421052631578946,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.381578947368421,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.4289473684210526,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.47631578947368414,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.5236842105263158,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.5710526315789474,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.618421052631579,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.6657894736842105,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.7131578947368421,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.7605263157894736,0.7131578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.7131578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.8078947368421052,0.7605263157894736,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.7131578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.7605263157894736,113133176.83,113057871.83,75305.0,0.0,13
0.8552631578947368,0.8078947368421052,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.7131578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.7605263157894736,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.8078947368421052,113133176.83,113057871.83,75305.0,0.0,13
0.9026315789473683,0.8552631578947368,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.05,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.09736842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.14473684210526316,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.19210526315789472,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.23947368421052628,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.28684210526315784,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.33421052631578946,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.381578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.4289473684210526,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.47631578947368414,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.5236842105263158,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.5710526315789474,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.618421052631579,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.6657894736842105,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.7131578947368421,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.7605263157894736,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.8078947368421052,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.8552631578947368,113133176.83,113057871.83,75305.0,0.0,13
0.95,0.9026315789473683,113133176.83,113057871.83,75305.0,0.0,13
